Time,StepCount,cgShipMotion.ned.north [57 real output],cgShipMotion.ned.east [58 real output],cgShipMotion.ned.down [59 real output],cgShipMotion.angularDisplacement.yaw [73 real output],cgShipMotion.angularDisplacement.pitch [70 real output],cgShipMotion.angularDisplacement.roll [67 real output]
920.15,18403,39.9458,55.4107,-1.02655,70.8481,0.0432824,0.401323
920.25,18405,39.9601,55.6503,-1.02627,70.4848,0.0458238,0.435969
920.35,18407,39.976,55.8901,-1.02598,70.1239,0.0483897,0.471885
920.45,18409,39.9935,56.13,-1.02567,69.7656,0.0509563,0.508728
920.55,18411,40.0127,56.3702,-1.02537,69.4097,0.053501,0.546165
920.65,18413,40.0335,56.6105,-1.02506,69.0564,0.056001,0.583846
920.75,18415,40.0558,56.851,-1.02476,68.7057,0.0584354,0.621434
920.85,18417,40.0798,57.0917,-1.02445,68.3576,0.0607836,0.658591
920.95,18419,40.1054,57.3326,-1.02416,68.0122,0.0630266,0.694986
921.05,18421,40.1326,57.5736,-1.02388,67.6695,0.0651468,0.730304
921.15,18423,40.1615,57.8148,-1.02361,67.3294,0.0671279,0.76424
921.25,18425,40.1919,58.0562,-1.02335,66.9922,0.0689558,0.796516
921.35,18427,40.224,58.2977,-1.02312,66.6578,0.0706174,0.82687
921.45,18429,40.2576,58.5394,-1.02291,66.3262,0.0721004,0.855069
921.55,18431,40.2929,58.7813,-1.02271,65.9975,0.0733946,0.880911
921.65,18433,40.3298,59.0233,-1.02255,65.6718,0.0744922,0.904211
921.75,18435,40.3682,59.2654,-1.02241,65.349,0.0753874,0.924817
921.85,18437,40.4083,59.5077,-1.0223,65.0293,0.0760768,0.942605
921.95,18439,40.4499,59.7502,-1.02221,64.7126,0.0765594,0.957473
922.05,18441,40.4932,59.9927,-1.02216,64.3991,0.0768362,0.969351
922.15,18443,40.538,60.2354,-1.02213,64.0886,0.0769105,0.978196
922.25,18445,40.5845,60.4783,-1.02213,63.7813,0.0767878,0.983998
922.35,18447,40.6325,60.7212,-1.02216,63.4772,0.0764754,0.986771
922.45,18449,40.6821,60.9643,-1.02222,63.1762,0.0759826,0.986565
922.55,18451,40.7332,61.2075,-1.0223,62.8785,0.0753204,0.983445
922.65,18453,40.7859,61.4509,-1.02241,62.5839,0.0745012,0.977514
922.75,18455,40.8402,61.6943,-1.02254,62.2927,0.0735388,0.968892
922.85,18457,40.8961,61.9378,-1.0227,62.0047,0.0724482,0.957725
922.95,18459,40.9535,62.1815,-1.02288,61.7199,0.0712452,0.944187
923.05,18461,41.0125,62.4253,-1.02307,61.4384,0.0699464,0.928466
923.15,18463,41.073,62.6692,-1.02328,61.1603,0.068569,0.910772
923.25,18465,41.135,62.9131,-1.02351,60.8854,0.0671303,0.891332
923.35,18467,41.1986,63.1572,-1.02375,60.6138,0.0656477,0.870379
923.45,18469,41.2637,63.4014,-1.024,60.3456,0.0641386,0.848166
923.55,18471,41.3303,63.6457,-1.02425,60.0806,0.0626199,0.824953
923.65,18473,41.3984,63.8901,-1.02451,59.8189,0.0611082,0.801002
923.75,18475,41.4681,64.1346,-1.02477,59.5606,0.0596192,0.776586
923.85,18477,41.5392,64.3791,-1.02503,59.3056,0.058168,0.751977
923.95,18479,41.6119,64.6238,-1.02529,59.0539,0.0567686,0.727443
924.05,18481,41.686,64.8686,-1.02554,58.8054,0.0554338,0.703249
924.15,18483,41.7617,65.1134,-1.02579,58.5603,0.0541755,0.679654
924.25,18485,41.8388,65.3583,-1.02602,58.3184,0.0530041,0.65691
924.35,18487,41.9174,65.6034,-1.02624,58.0799,0.0519287,0.635249
924.45,18489,41.9974,65.8485,-1.02645,57.8445,0.0509569,0.614903
924.55,18491,42.0789,66.0937,-1.02664,57.6125,0.0500949,0.596071
924.65,18493,42.1619,66.339,-1.02682,57.3836,0.0493475,0.578946
924.75,18495,42.2463,66.5844,-1.02697,57.158,0.0487181,0.563695
924.85,18497,42.3321,66.8298,-1.02711,56.9356,0.0482085,0.550472
924.95,18499,42.4194,67.0754,-1.02723,56.7165,0.0478192,0.539399
925.05,18501,42.5081,67.321,-1.02732,56.5004,0.0475493,0.530579
925.15,18503,42.5983,67.5668,-1.02739,56.2876,0.0473966,0.524089
925.25,18505,42.6898,67.8126,-1.02744,56.0779,0.0473578,0.519987
925.35,18507,42.7828,68.0585,-1.02747,55.8713,0.0474284,0.518302
925.45,18509,42.8771,68.3044,-1.02747,55.6679,0.0476029,0.519034
925.55,18511,42.9729,68.5505,-1.02746,55.4676,0.0478747,0.522166
925.65,18513,43.07,68.7967,-1.02742,55.2704,0.0482365,0.527645
925.75,18515,43.1685,69.0429,-1.02736,55.0762,0.0486802,0.535407
925.85,18517,43.2684,69.2892,-1.02729,54.8851,0.0491973,0.545354
925.95,18519,43.3697,69.5356,-1.0272,54.6971,0.0497785,0.55738
926.05,18521,43.4724,69.7821,-1.02708,54.5121,0.0504143,0.57135
926.15,18523,43.5763,70.0287,-1.02696,54.3302,0.051095,0.587109
926.25,18525,43.6817,70.2754,-1.02682,54.1512,0.0518107,0.604494
926.35,18527,43.7884,70.5221,-1.02667,53.9753,0.0525513,0.623311
926.45,18529,43.8964,70.7689,-1.02651,53.8024,0.0533071,0.643371
926.55,18531,44.0058,71.0159,-1.02634,53.6325,0.0540681,0.664465
926.65,18533,44.1164,71.2629,-1.02617,53.4655,0.0548251,0.686377
926.75,18535,44.2284,71.51,-1.026,53.3016,0.0555689,0.708884
926.85,18537,44.3417,71.7571,-1.02582,53.1406,0.056291,0.731763
926.95,18539,44.4564,72.0044,-1.02564,52.9826,0.056983,0.754783
927.05,18541,44.5723,72.2518,-1.02547,52.8275,0.0576377,0.777721
927.15,18543,44.6895,72.4992,-1.0253,52.6755,0.0582481,0.800354
927.25,18545,44.808,72.7467,-1.02513,52.5263,0.058808,0.822461
927.35,18547,44.9278,72.9943,-1.02498,52.3801,0.0593119,0.843829
927.45,18549,45.0488,73.2421,-1.02483,52.2369,0.0597552,0.864258
927.55,18551,45.1711,73.4899,-1.0247,52.0966,0.060134,0.883555
927.65,18553,45.2947,73.7377,-1.02457,51.9593,0.0604453,0.90154
927.75,18555,45.4195,73.9857,-1.02446,51.8249,0.0606867,0.918049
927.85,18557,45.5456,74.2338,-1.02437,51.6934,0.0608569,0.932938
927.95,18559,45.6729,74.482,-1.02429,51.5648,0.0609551,0.946069
928.05,18561,45.8015,74.7302,-1.02423,51.4392,0.0609815,0.957336
928.15,18563,45.9312,74.9786,-1.02419,51.3165,0.0609371,0.966642
928.25,18565,46.0622,75.227,-1.02416,51.1967,0.0608234,0.973915
928.35,18567,46.1944,75.4756,-1.02415,51.0798,0.0606427,0.979102
928.45,18569,46.3278,75.7242,-1.02415,50.9658,0.0603979,0.982168
928.55,18571,46.4624,75.973,-1.02418,50.8547,0.0600926,0.983107
928.65,18573,46.5982,76.2218,-1.02422,50.7465,0.0597307,0.981923
928.75,18575,46.7352,76.4708,-1.02427,50.6411,0.0593168,0.97865
